MINE CODE;MINE NAME;MINE OWNER;POSTAL ADDRESS;TELEPHONE & FAX NUMBER;MAGISTERIAL DISTRICT;PROVINCE;ENTITY & MINING TYPE;COMMODITY;FARM NAMES;;;
15677;NDALA COLLIERY                                                                ; NDALA PROJECTS AND MINING (PTY) LTD                                          ; 56A KOSIBAY CLOSE MORELETAPARK MEADOW RIDGE  0181                                                                                                                      ;082 713 4541                        ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BEESTEPAN 1211 JS OF RE; HARTOGSHOOP 410 JS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ";;;
14865;NELPAN (PTY LTD                                                               ; NELPAN (PTY LTD                                                              ; PO BOX 11385 MIDDELBURG   1050                                                                                                                                         ;(013) 282 8943       086 723 8337   ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;DOORNRUG 302 JS 13 10 42 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;;;
15583;NEOSHO TRADING (PTY) LTD                                                      ; WESCOAL HOLDINGS LIMITED                                                     ; PO BOX 1962 EDENVALE   1610                                                                                                                                            ;(011) 049 8611       (011) 570 5848 ;DELMAS;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;MOABSVELDEN 248 IR 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
10446;NEW CLYDESDALE COLLIERY                                                       ; UNIVERSAL COAL DEVELOPMENT IV (PTY) LTD                                      ; PO BOX 2324 BROOKLYN SQUARE PRETORIA  0075                                                                                                                             ;(010) 900 2346       (086) 653 7662 ;WITBANK;MPUMALANGA;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"DIEPSPRUIT 41 IS; HAASFONEIN 28 IS; MIDDELDRIFT 42 IS; RIETFONTEIN 43 IS; VAALKRANZ 29 IS; VAN WYK'S DRIFT 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";;;
11122;NEW DENMARK COLLIERY                                                          ; SERITI COAL (PTY) LTD                                                        ; PRIVATE BAG X2022 STANDERTON   2430                                                                                                                                    ;(017) 749 0031       (017) 749 0157 ;STANDERTON;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BEGINSEL 357 IS; EENSGEVONDEN 373 IS; FARM 550 IS; HONIBALL 352 IS; IRENE DALE 358 IS; JOUBERTSVALLEI 337 IS; LIEBENBERG 345 IS; MEYERSVALLEI 354 IS; MOOIFONTEIN 342 IS; NEW DENMARK 335 IS; PRETORIUSVLEY 374 IS; RACEBULT 352 IS; SLAGKRAAL 353 IS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ";;;
15646;NEW LARGO COAL (PTY) LTD                                                      ; NEW LARGO COAL (PTY) LTD                                                     ; PO BOX 639 NORTHLANDS   2116                                                                                                                                           ;(011) 047 7000       086 212 5270   ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BANKFONTEIN 216 IR VARIOUS; EENZAAMHEID 534 JR RE 3 & 40; HARTEBEESTFONTEIN 537 JR RE; HEUVELFONTEIN 215 IR VARIOUS; HONINGKRANTZ 563 JR 1 RE; KLIPFONTEIN 566 JR VARIOUS; KLIPFONTEIN 568 JR VARIOUS; PRINSHOF 2 IS RE; ROODEPOORTJIE 326 JS VARIOUS; SMALDEEL 1 IS 2 RE; VAN DYKSPUT 214 IR 4; VLAKFONTEIN 569 JR VARIOUS                                                                                                                                                                                                                                                                                                                                                                                                                                                   ";;;
11128;NEW VAAL COLLIERY                                                             ; SERITI                                                                       ; PRIVATE BAG X414 THREE RIVERS   1935                                                                                                                                   ;(016) 450 7473       (016) 450 7233 ;SASOLBURG;FREE STATE;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BANKFONTEIN 9; MACCAUWLEI 121; RIETFONTEIN 152; ZANDFONTEIN 259                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ";;;
15827;NEWCASTLE GARDINIA COLLIERY                                                   ; MSI EMPIRE GROUP (PTY) LTD                                                   ; 1 BLAIRGOWRIE STREET BALLENGEICH NEWCASTLE  2940                                                                                                                       ;083 280 7000                        ;NEWCASTLE;KWA-ZULU NATAL;"MINE                                                    OPENCAST; SURFACE; UNDERGROUND                                                                                                                        ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;GARDINIA 8486 HS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;;;
15694;NNDANGANENI COLLIERY                                                          ; LONDANI (PTY) LTD                                                            ; 54 PRINSBERG AVENUE WITBANK   1035                                                                                                                                     ;083 512 8360         086 554 7009   ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;HARTOGS HOF 413 JS 1 3 - 6 RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;
16272;NORTH BLOCK COMPLEX (PTY) LTD                                                 ; UNIVERSAL COAL PLC                                                           ; PO BOX 275 BELFAST   1100                                                                                                                                              ;(010) 900 0349                      ;BELFAST;MPUMALANGA;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"PAARDEPLAATS 380 JT 1-5 & 24; EERSTELINGSFONTEIN 406 JT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ";;;
13486;NORTHERN COAL (PTY) LTD                                                       ; NORTHERN COAL (PTY) LTD                                                      ; PO BOX 52651 SAXONWOLD   2132                                                                                                                                          ;(011) 882 7204                      ;CAROLINA;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;WITKRANZ 53 IT RE OF 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;;;
14454;NORTHFIELD SLURRY DUMP                                                        ; HOMELAND MINING & ENERGY SA (PTY) LTD                                        ; PO BOX 20586 DEL JUDOR EXT 4 WITBANK  1044                                                                                                                             ;(013) 656 1060       (013) 656 1086 ;GLENCOE;KWA-ZULU NATAL;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;BRICKFIELDS 15750 GT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
14533;NORWESCO COLLIERY                                                             ; NORWESCO INVESTMENTS (PTY) LTD                                               ; LOMBARDY OFFICE PARK 27 GRAHAM ROAD PRETORIA  0000                                                                                                                     ;073 336 4205                        ;DELMAS;MPUMALANGA;"MINE                                                    OPENCAST; SURFACE                                                                                                                                     ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;BRAKFONTEIN 264 IR 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
15841;NOTRE COAL                                                                    ; NOTRE COAL                                                                   ; PLOT 106 ELOF MPUMALANGA  2211                                                                                                                                         ;(013) 110 1412                      ;WAKKERSTROOM;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                   ;MOOIHOEK 168 HT RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;;;
15796;NTIMENI COLLIERY                                                              ; XIVONO MINING (PTY) LTD                                                      ; P O BOX 90349 BERTSHAM   2013                                                                                                                                          ;071 371 6485                        ;BELFAST;MPUMALANGA;"MINE                                                    OPENCAST; SURFACE; UNDERGROUND                                                                                                                        ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"WELTEVREDEN 381 JT VARIOUS;  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ";;;
11046;NTSHOVELO MINING RESOURCES - VLAKVARKFONTEIN COLLIERY                         ; MBUYELO COAL                                                                 ; PO BOX 90349 BERTSHAM   2013                                                                                                                                           ;(013) 656 3732                      ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;VLAKVARKFONTEIN 213 IR 3 5 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;
15004;NUNGU COLLIERY                                                                ; NUNGU TRADING 341 (PTY) LTD                                                  ; SUITE MW 858 PRIVATE BAG X1838 MIDDELBURG  1050                                                                                                                        ;081 558 0727                        ;MIDDELBURG MP;MPUMALANGA;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;ELANDSPRUIT 291 JS 23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
14400;ONVERDACHT COLLIERY                                                           ; IPP EQUIPMENT                                                                ; PLOT 54 PRINSBERG ROAD SEEKOEIWATER WITBANK  1035                                                                                                                      ;(013) 656 0191                      ;BELFAST;MPUMALANGA;"MINE                                                    OPENCAST; SURFACE                                                                                                                                     ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"KAALPLAATS 453 JS 5; SPRINGBOKPAN PTN 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ";;;
15553;OPGOEDEHOOP COLLIERY                                                          ; FIFTH SEASON INVESTMENTS 125 (PTY) LTD                                       ; 54 PRINSBERG AVENUE WITBANK   1035                                                                                                                                     ;083 512 8360         086 554 7009   ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;OPGOEDENHOOP 205 IS 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
10474;OPTIMUM COAL MINE (PTY) LTD                                                   ; TEGETA                                                                       ; PRIVATE BAG X1201 PULLENSHOPE   1096                                                                                                                                   ;(013) 296 5000       (013) 296 5108 ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BOSCHMANSKOP 154 IS; DRIEPAN 156 IS; OPTIMUS 480 JS; PULLENSHOPE 155 IS; ZEVENFONTEIN 484 JS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";;;
15339;OVERLOOKED COLLIERY                                                           ; AMALGAMATED CONTRACTOR COMPANIES                                             ; POSTNET SUITE 252 PRIVATE BAG X1866 MIDDELBURG  1050                                                                                                                   ;(013) 246 8555       (013) 246 1725 ;BETHAL;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;HALFGEWONNEN 190 IS 5  17 & RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
11527;PALESA COLLIERY - PALESA COAL (PTY) LTD                                       ; HCI COAL (PTY) LTD                                                           ; PO BOX 1839 HALFWAY HOUSE   1685                                                                                                                                       ;(011) 448 4900       (011) 448 4901 ;BRONKHORSTSPRUIT;GAUTENG;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"LOOPSPRUIT 435 JR 4 TO 8; ROOIPOORT 440 JR 1; DROOGVELD 438 JR RE; ROODEPOORT 439 JR 3 & 5; NOOITGEDACHT 436 JR 22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ";;;
15676;PEGASUS COLLIERY                                                              ; SOUTH32 SA COAL HOLDINGS (PTY) LIMITED                                       ; 39 MELROSE BOULEVARD MELROSE ARCH JOHANNESBURG  2076                                                                                                                   ;(011) 376 2046                      ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"KLIPPOORT 277 JS 5; KALBASFONTEIN 284 JS 22 21; GELUK 276 JS RE 1 2 4; LEEUWPOORT 283 JS 9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ";;;
14946;PENUMBRA COAL MINING (PTY) LTD                                                ; ICHOR COAL                                                                   ; PO BOX 2118 ERMELO   2350                                                                                                                                              ;(017) 801 1300       (017) 801 1399 ;ERMELO;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"WITBANK 262 IT; LANGVERWACHT 293 IT PTNS; RIETSPRUIT 417 IS; VLAKVARKFONTEIN 213 IR 5 13 RE 3; NOOITGEDACHT 268 IT 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ";;;
15014;PHALANNDWA COLLIERY                                                           ; CANYON RESOURCES (PTY) LTD                                                   ; PO BOX 2632 SAXONWORLD   2132                                                                                                                                          ;(011) 783 7996       (011) 783 8016 ;DELMAS;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;SCHOONGEZICHT 225 IR 10 & 11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;;;
15737;PHALANNDWA EXTENTION COLLIERY                                                 ; MINIANDANTE (PTY) LTD                                                        ; PO BOX 2632 SAXONWOLD   2132                                                                                                                                           ;(011) 783 7996       (011) 783 8016 ;DELMAS;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;SCHOONGEZICHT 225 IR RE & 7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;;;
